Separation,Force_Clamped
0.1,4000000
0.2,4000000
0.3,4000000
0.4,4000000
0.5,4000000
0.6,4000000
0.7,4000000
0.8,4000000
0.9,4000000
1,4000000
1.1,4000000
1.2,4000000
1.3,4000000
1.4,4000000
1.5,4000000
1.6,4000000
1.7,4000000
1.8,4000000
1.9,4000000
2,4000000
2.1,4000000
2.2,4000000
2.3,4000000
2.4,4000000
2.5,4000000
2.6,4000000
2.7,4000000
2.8,4000000
2.9,4000000
3,4000000
3.1,4000000
3.2,4000000
3.3,4000000
3.4,4000000
3.5,4000000
3.6,4000000
3.7,4000000
3.8,4000000
3.9,4000000
4,4000000
4.1,4000000
4.2,4000000
4.3,4000000
4.4,4000000
4.5,4000000
4.6,4000000
4.7,4000000
4.8,4000000
4.9,4000000
5,4000000
5.1,4000000
5.2,4000000
5.3,4000000
5.4,4000000
5.5,4000000
5.6,4000000
5.7,4000000
5.8,4000000
5.9,4000000
6,4000000
6.1,4000000
6.2,4000000
6.3,4000000
6.4,4000000
6.5,4000000
6.6,4000000
6.7,4000000
6.8,4000000
6.9,4000000
7,4000000
7.1,4000000
7.2,4000000
7.3,4000000
7.4,4000000
7.5,4000000
7.6,4000000
7.7,4000000
7.8,4000000
7.9,4000000
8,4000000
8.1,4000000
8.2,4000000
8.3,4000000
8.4,4000000
8.5,4000000
8.6,4000000
8.7,4000000
8.8,4000000
8.9,4000000
9,4000000
9.1,4000000
9.2,4000000
9.3,4000000
9.4,4000000
9.5,4000000
9.6,4000000
9.7,4000000
9.8,4000000
9.9,4000000
10,4000000
10.1,4000000
10.2,4000000
10.3,4000000
10.4,4000000
10.5,4000000
10.6,4000000
10.7,4000000
10.8,4000000
10.9,4000000
11,4000000
11.1,4000000
11.2,4000000
11.3,4000000
11.4,4000000
11.5,4000000
11.6,4000000
11.7,4000000
11.8,4000000
11.9,4000000
12,4000000
12.1,4000000
12.2,4000000
12.3,4000000
12.4,4000000
12.5,4000000
12.6,4000000
12.7,4000000
12.8,4000000
12.9,4000000
13,4000000
13.1,4000000
13.2,4000000
13.3,4000000
13.4,4000000
13.5,4000000
13.6,4000000
13.7,4000000
13.8,4000000
13.9,4000000
14,4000000
14.1,4000000
14.2,4000000
14.3,4000000
14.4,4000000
14.5,4000000
14.6,4000000
14.7,4000000
14.8,4000000
14.9,4000000
15,4000000
15.1,4000000
15.2,4000000
15.3,4000000
15.4,4000000
15.5,4000000
15.6,4000000
15.7,4000000
15.8,4000000
15.9,4000000
16,4000000
16.1,4000000
16.2,4000000
16.3,4000000
16.4,4000000
16.5,4000000
16.6,4000000
16.7,4000000
16.8,4000000
16.9,4000000
17,4000000
17.1,4000000
17.2,4000000
17.3,4000000
17.4,4000000
17.5,4000000
17.6,4000000
17.7,4000000
17.8,4000000
17.9,4000000
18,4000000
18.1,4000000
18.2,4000000
18.3,4000000
18.4,4000000
18.5,4000000
18.6,4000000
18.7,4000000
18.8,4000000
18.9,4000000
19,4000000
19.1,4000000
19.2,4000000
19.3,4000000
19.4,4000000
19.5,4000000
19.6,4000000
19.7,4000000
19.8,4000000
19.9,4000000
20,4000000
20.1,4000000
20.2,4000000
20.3,4000000
20.4,4000000
20.5,4000000
20.6,4000000
20.7,4000000
20.8,4000000
20.9,4000000
21,4000000
21.1,4000000
21.2,4000000
21.3,4000000
21.4,4000000
21.5,4000000
21.6,4000000
21.7,4000000
21.8,4000000
21.9,4000000
22,4000000
22.1,4000000
22.2,4000000
22.3,4000000
22.4,4000000
22.5,4000000
22.6,4000000
22.7,4000000
22.8,4000000
22.9,4000000
23,4000000
23.1,4000000
23.2,4000000
23.3,4000000
23.4,4000000
23.5,4000000
23.6,4000000
23.7,4000000
23.8,4000000
23.9,4000000
24,4000000
24.1,4000000
24.2,4000000
24.3,4000000
24.4,4000000
24.5,4000000
24.6,4000000
24.7,4000000
24.8,4000000
24.9,4000000
25,4000000
25.1,4000000
25.2,4000000
25.3,4000000
25.4,4000000
25.5,4000000
25.6,4000000
25.7,4000000
25.8,4000000
25.9,4000000
26,4000000
26.1,4000000
26.2,4000000
26.3,4000000
26.4,4000000
26.5,4000000
26.6,4000000
26.7,4000000
26.8,4000000
26.9,4000000
27,4000000
27.1,4000000
27.2,4000000
27.3,4000000
27.4,4000000
27.5,4000000
27.6,4000000
27.7,4000000
27.8,4000000
27.9,4000000
28,4000000
28.1,4000000
28.2,4000000
28.3,4000000
28.4,4000000
28.5,4000000
28.6,4000000
28.7,4000000
28.8,4000000
28.9,4000000
29,4000000
29.1,4000000
29.2,4000000
29.3,4000000
29.4,4000000
29.5,4000000
29.6,4000000
29.7,4000000
29.8,4000000
29.9,4000000
30,4000000
30.1,4000000
30.2,4000000
30.3,4000000
30.4,4000000
30.5,4000000
30.6,4000000
30.7,4000000
30.8,4000000
30.9,4000000
31,4000000
31.1,4000000
31.2,4000000
31.3,4000000
31.4,4000000
31.5,4000000
31.6,4000000
31.7,4000000
31.8,4000000
31.9,4000000
32,4000000
32.1,4000000
32.2,4000000
32.3,4000000
32.4,4000000
32.5,4000000
32.6,4000000
32.7,4000000
32.8,4000000
32.9,4000000
33,4000000
33.1,4000000
33.2,4000000
33.3,4000000
33.4,4000000
33.5,4000000
33.6,4000000
33.7,4000000
33.8,4000000
33.9,4000000
34,4000000
34.1,4000000
34.2,4000000
34.3,4000000
34.4,4000000
34.5,4000000
34.6,4000000
34.7,4000000
34.8,4000000
34.9,4000000
35,4000000
35.1,4000000
35.2,4000000
35.3,4000000
35.4,4000000
35.5,4000000
35.6,4000000
35.7,4000000
35.8,4000000
35.9,4000000
36,4000000
36.1,4000000
36.2,4000000
36.3,4000000
36.4,4000000
36.5,4000000
36.6,4000000
36.7,4000000
36.8,4000000
36.9,4000000
37,4000000
37.1,4000000
37.2,4000000
37.3,4000000
37.4,4000000
37.5,4000000
37.6,4000000
37.7,4000000
37.8,4000000
37.9,4000000
38,4000000
38.1,4000000
38.2,4000000
38.3,4000000
38.4,4000000
38.5,4000000
38.6,4000000
38.7,4000000
38.8,4000000
38.9,4000000
39,4000000
39.1,4000000
39.2,4000000
39.3,4000000
39.4,4000000
39.5,4000000
39.6,4000000
39.7,4000000
39.8,4000000
39.9,4000000
40,4000000
40.1,4000000
40.2,4000000
40.3,4000000
40.4,4000000
40.5,4000000
40.6,4000000
40.7,4000000
40.8,4000000
40.9,4000000
41,4000000
41.1,4000000
41.2,4000000
41.3,4000000
41.4,4000000
41.5,4000000
41.6,4000000
41.7,4000000
41.8,4000000
41.9,4000000
42,4000000
42.1,4000000
42.2,4000000
42.3,4000000
42.4,4000000
42.5,4000000
42.6,4000000
42.7,4000000
42.8,4000000
42.9,4000000
43,4000000
43.1,4000000
43.2,4000000
43.3,4000000
43.4,4000000
43.5,4000000
43.6,4000000
43.7,4000000
43.8,4000000
43.9,4000000
44,4000000
44.1,4000000
44.2,4000000
44.3,4000000
44.4,4000000
44.5,4000000
44.6,4000000
44.7,4000000
44.8,4000000
44.9,4000000
45,4000000
45.1,4000000
45.2,4000000
45.3,4000000
45.4,4000000
45.5,4000000
45.6,4000000
45.7,4000000
45.8,4000000
45.9,4000000
46,4000000
46.1,4000000
46.2,4000000
46.3,4000000
46.4,4000000
46.5,4000000
46.6,4000000
46.7,4000000
46.8,4000000
46.9,4000000
47,4000000
47.1,4000000
47.2,4000000
47.3,4000000
47.4,4000000
47.5,4000000
47.6,4000000
47.7,4000000
47.8,4000000
47.9,4000000
48,4000000
48.1,4000000
48.2,4000000
48.3,4000000
48.4,4000000
48.5,4000000
48.6,4000000
48.7,4000000
48.8,4000000
48.9,4000000
49,4000000
49.1,4000000
49.2,4000000
49.3,4000000
49.4,4000000
49.5,4000000
49.6,4000000
49.7,4000000
49.8,4000000
49.9,4000000
50,4000000
50.1,4000000
50.2,4000000
50.3,4000000
50.4,4000000
50.5,4000000
50.6,4000000
50.7,4000000
50.8,4000000
50.9,4000000
51,4000000
51.1,4000000
51.2,4000000
51.3,4000000
51.4,4000000
51.5,4000000
51.6,4000000
51.7,4000000
51.8,4000000
51.9,4000000
52,4000000
52.1,4000000
52.2,4000000
52.3,4000000
52.4,4000000
52.5,4000000
52.6,4000000
52.7,4000000
52.8,4000000
52.9,4000000
53,4000000
53.1,4000000
53.2,4000000
53.3,4000000
53.4,4000000
53.5,4000000
53.6,4000000
53.7,4000000
53.8,4000000
53.9,4000000
54,4000000
54.1,4000000
54.2,4000000
54.3,4000000
54.4,4000000
54.5,4000000
54.6,4000000
54.7,4000000
54.8,4000000
54.9,4000000
55,4000000
55.1,4000000
55.2,4000000
55.3,4000000
55.4,4000000
55.5,4000000
55.6,4000000
55.7,4000000
55.8,4000000
55.9,4000000
56,4000000
56.1,4000000
56.2,4000000
56.3,4000000
56.4,4000000
56.5,4000000
56.6,4000000
56.7,4000000
56.8,4000000
56.9,4000000
57,4000000
57.1,4000000
57.2,4000000
57.3,4000000
57.4,4000000
57.5,4000000
57.6,4000000
57.7,4000000
57.8,4000000
57.9,4000000
58,4000000
58.1,4000000
58.2,4000000
58.3,4000000
58.4,4000000
58.5,4000000
58.6,4000000
58.7,4000000
58.8,4000000
58.9,4000000
59,4000000
59.1,4000000
59.2,4000000
59.3,4000000
59.4,4000000
59.5,4000000
59.6,4000000
59.7,4000000
59.8,4000000
59.9,4000000
60,4000000
60.1,4000000
60.2,4000000
60.3,4000000
60.4,4000000
60.5,4000000
60.6,4000000
60.7,4000000
60.8,4000000
60.9,4000000
61,4000000
61.1,4000000
61.2,4000000
61.3,4000000
61.4,4000000
61.5,4000000
61.6,4000000
61.7,4000000
61.8,4000000
61.9,4000000
62,4000000
62.1,4000000
62.2,4000000
62.3,4000000
62.4,4000000
62.5,4000000
62.6,4000000
62.7,4000000
62.8,4000000
62.9,4000000
63,4000000
63.1,4000000
63.2,4000000
63.3,4000000
63.4,4000000
63.5,4000000
63.6,4000000
63.7,4000000
63.8,4000000
63.9,4000000
64,4000000
64.1,4000000
64.2,4000000
64.3,4000000
64.4,4000000
64.5,4000000
64.6,4000000
64.7,4000000
64.8,4000000
64.9,4000000
65,4000000
65.1,4000000
65.2,4000000
65.3,4000000
65.4,4000000
65.5,4000000
65.6,4000000
65.7,4000000
65.8,4000000
65.9,4000000
66,4000000
66.1,4000000
66.2,4000000
66.3,4000000
66.4,4000000
66.5,4000000
66.6,4000000
66.7,4000000
66.8,4000000
66.9,4000000
67,4000000
67.1,4000000
67.2,4000000
67.3,4000000
67.4,4000000
67.5,4000000
67.6,4000000
67.7,4000000
67.8,4000000
67.9,4000000
68,4000000
68.1,4000000
68.2,4000000
68.3,4000000
68.4,4000000
68.5,4000000
68.6,4000000
68.7,4000000
68.8,4000000
68.9,4000000
69,4000000
69.1,4000000
69.2,4000000
69.3,4000000
69.4,4000000
69.5,4000000
69.6,4000000
69.7,4000000
69.8,4000000
69.9,4000000
70,4000000
70.1,4000000
70.2,4000000
70.3,4000000
70.4,4000000
70.5,4000000
70.6,4000000
70.7,4000000
70.8,4000000
70.9,4000000
71,4000000
71.1,4000000
71.2,4000000
71.3,4000000
71.4,4000000
71.5,4000000
71.6,4000000
71.7,4000000
71.8,4000000
71.9,4000000
72,4000000
72.1,4000000
72.2,4000000
72.3,4000000
72.4,4000000
72.5,4000000
72.6,4000000
72.7,4000000
72.8,4000000
72.9,4000000
73,4000000
73.1,4000000
73.2,4000000
73.3,4000000
73.4,4000000
73.5,4000000
73.6,4000000
73.7,4000000
73.8,4000000
73.9,4000000
74,4000000
74.1,4000000
74.2,4000000
74.3,4000000
74.4,4000000
74.5,4000000
74.6,4000000
74.7,4000000
74.8,4000000
74.9,4000000
75,4000000
75.1,4000000
75.2,4000000
75.3,4000000
75.4,4000000
75.5,4000000
75.6,4000000
75.7,4000000
75.8,4000000
75.9,4000000
76,4000000
76.1,4000000
76.2,4000000
76.3,4000000
76.4,4000000
76.5,4000000
76.6,4000000
76.7,4000000
76.8,4000000
76.9,4000000
77,4000000
77.1,4000000
77.2,4000000
77.3,4000000
77.4,4000000
77.5,4000000
77.6,4000000
77.7,4000000
77.8,4000000
77.9,4000000
78,4000000
78.1,4000000
78.2,4000000
78.3,4000000
78.4,4000000
78.5,4000000
78.6,4000000
78.7,4000000
78.8,4000000
78.9,4000000
79,4000000
79.1,4000000
79.2,4000000
79.3,4000000
79.4,4000000
79.5,4000000
79.6,4000000
79.7,4000000
79.8,4000000
79.9,4000000
80,4000000
80.1,4000000
80.2,4000000
80.3,4000000
80.4,4000000
80.5,4000000
80.6,4000000
80.7,4000000
80.8,4000000
80.9,4000000
81,4000000
81.1,4000000
81.2,4000000
81.3,4000000
81.4,4000000
81.5,4000000
81.6,4000000
81.7,4000000
81.8,4000000
81.9,4000000
82,4000000
82.1,4000000
82.2,4000000
82.3,4000000
82.4,4000000
82.5,4000000
82.6,4000000
82.7,4000000
82.8,4000000
82.9,4000000
83,4000000
83.1,4000000
83.2,4000000
83.3,4000000
83.4,4000000
83.5,4000000
83.6,4000000
83.7,4000000
83.8,4000000
83.9,4000000
84,4000000
84.1,4000000
84.2,4000000
84.3,4000000
84.4,4000000
84.5,4000000
84.6,4000000
84.7,4000000
84.8,4000000
84.9,4000000
85,4000000
85.1,4000000
85.2,4000000
85.3,4000000
85.4,4000000
85.5,4000000
85.6,4000000
85.7,4000000
85.8,4000000
85.9,4000000
86,4000000
86.1,4000000
86.2,4000000
86.3,4000000
86.4,4000000
86.5,4000000
86.6,4000000
86.7,4000000
86.8,4000000
86.9,4000000
87,4000000
87.1,4000000
87.2,4000000
87.3,4000000
87.4,4000000
87.5,4000000
87.6,4000000
87.7,4000000
87.8,4000000
87.9,4000000
88,4000000
88.1,4000000
88.2,4000000
88.3,4000000
88.4,4000000
88.5,4000000
88.6,4000000
88.7,4000000
88.8,4000000
88.9,4000000
89,4000000
89.1,4000000
89.2,4000000
89.3,4000000
89.4,4000000
89.5,4000000
89.6,4000000
89.7,4000000
89.8,4000000
89.9,4000000
90,4000000
90.1,4000000
90.2,4000000
90.3,4000000
90.4,4000000
90.5,4000000
90.6,4000000
90.7,4000000
90.8,4000000
90.9,4000000
91,4000000
